type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, vesselVolume, distanceToTwig, FittingType, averagePointDistance, maxPointDistance, qualityFlag,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder, 11, 10, 0.766623, -16.331385, 254.448239, 0.768279, -16.330844, 254.495172, 0.041408, 0.000253, 0.026804, 0.046965, 30.863226, 197.718555, 3.757540, SPHEREFOLLOWING, 0.002681, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 12, 11, 0.768279, -16.330844, 254.495172, 0.770089, -16.332645, 254.543507, 0.040839, 0.000254, 0.026551, 0.048403, 30.816261, 194.477944, 3.710574, SPHEREFOLLOWING, 0.001897, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 13, 12, 0.770089, -16.332645, 254.543507, 0.770831, -16.329614, 254.590896, 0.041393, 0.000256, 0.026297, 0.047491, 30.767858, 191.138151, 3.662171, SPHEREFOLLOWING, 0.002752, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 14, 13, 0.770831, -16.329614, 254.590896, 0.772074, -16.326953, 254.639288, 0.041273, 0.000259, 0.026041, 0.048481, 30.720367, 187.861262, 3.614680, SPHEREFOLLOWING, 0.002413, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 15, 14, 0.772074, -16.326953, 254.639288, 0.776548, -16.323993, 254.684847, 0.042370, 0.000259, 0.025782, 0.045873, 30.671886, 184.516079, 3.566199, SPHEREFOLLOWING, 0.002970, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 16, 15, 0.776548, -16.323993, 254.684847, 0.779595, -16.325501, 254.732190, 0.041634, 0.000258, 0.025523, 0.047465, 30.626012, 181.350810, 3.520326, SPHEREFOLLOWING, 0.002519, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 17, 16, 0.779595, -16.325501, 254.732190, 0.778619, -16.324111, 254.781592, 0.041037, 0.000262, 0.025265, 0.049431, 30.578547, 178.075697, 3.472861, SPHEREFOLLOWING, 0.002487, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 18, 17, 0.778619, -16.324111, 254.781592, 0.780893, -16.320896, 254.828719, 0.040697, 0.000246, 0.025003, 0.047292, 30.529116, 174.664980, 3.423430, SPHEREFOLLOWING, 0.002458, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 19, 18, 0.780893, -16.320896, 254.828719, 0.784795, -16.317337, 254.876394, 0.039344, 0.000233, 0.024757, 0.047966, 30.481825, 171.401847, 3.376138, SPHEREFOLLOWING, 0.002074, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
cylinder, 20, 19, 0.784795, -16.317337, 254.876394, 0.782559, -16.311144, 254.922387, 0.039290, 0.000225, 0.024524, 0.046462, 30.433858, 168.092191, 3.328172, SPHEREFOLLOWING, 0.002259, 0.003482, 1, 0, -1, 0.041408, 0.026041, 30.720367, 0, 18, 8.306624, 69, 0, 0, unknownSpecies, 0.000000, 0.000000, 0.000000, 0.010000, 0.401606, 0.000000, 0.010000, 0.401606, 0.000000
